lat, lon, words
38.027715,-84.5038447,"deaf.critic.post"
37.1837, -86.3705, "footsteps, remember, celebration"
38.0487661,-84.5004785,"Skin.Bind.Beats"
37.89474016,-84.31193404,"tasted.turntable.freezing"
37.8948392, -85.9707611,"Pets.Deputy.Civil"
38.2203966,-85.7617613,"spice.stop.supper"
38.0366816, -84.5159107,"gained.type.waving"
39.3446274,-84.268364,"sulk.forklift.translates"
37.5356, -84.3352, "Chill.Bossy.Nearly"
37.6851747,-85.2242826,"dreams.sums.crust"
39.0134506,-84.4518086,"exchanges.risky.plan"
37.0714261, -84.6877756,"belief.springing.renovating"
36.9460581, -86.4240745,"icicle.grooves.capable"
38.0219013, -84.4214046, "bottom.echo.pages"
38.66419644,-84.53140958, "typical.graduating.carriage"
37.83901787,-83.63512062,"typist.projectors.reporting"
38.66254246,-84.52819747, "bless.investor.tumbled"
