title,description,url,group,icon,color,marker_id,visible,longitude,latitude
"PHLEGM",,,,,,,True,-84.496616,38.046803
"SAID DOKINS",,,,,,,True,-84.47613,38.055382
"KEYA TAMA",,,,,,,True,-84.496047,38.047721
"JESSICA SABOGAL",,,,,,,True,-84.497641,38.047199
"XYLENE",,,,,,,True,-84.496584,38.043801
"DRAGON76",,,,,,,True,-84.492229,38.059898
"DRAGON76",,,,,,,True,-84.501809,38.057853
"XYLENE",,,,,,,True,-84.518873,38.056984
"LEFT HANDED WAVE",,,,,,,True,-84.518763,38.055649
"KEY DETAIL & YU BABA",,,,,,,True,-84.493927,38.048881
"SHERYO & THE YOK",,,,,,,True,-84.50274,38.043278
"MrDHEO and PARIZ ONE",,,,,,,True,-84.498668,38.054683
"ODEITH",,,,,,,True,-84.490844,38.04542
"HITNES",,,,,,,True,-84.499868,38.048936
"ROA",,,,,,,True,-84.482243,38.056474
"HOW & NOSM",,,,,,,True,-84.498443,38.048721
"MTO",,,,,,,True,-84.517469,38.055523
"ANDREW HEM",,,,,,,True,-84.496895,38.047586
"EDUARDO KOBRA",,,,,,,True,-84.496062,38.044268
"GAIA",,,,,,,True,-84.491927,38.059424
"PHLEGM",,,,,,,True,-84.520037,38.056582
"ODEITH",,,,,,,True,-84.503976,38.064905
"HERAKUT",,,,,,,True,-84.496764,38.048552
"FINTAN MAGEE",,,,,,,True,-84.496844,38.047549
"PATCH WHISKEY",,,,,,,True,-84.482061,38.058341
"ALICE MIZRACHI",,,,,,,True,-84.487963,38.042049
"ESTABAN CAMACHO STEFFENSON",,,,,,,True,-84.478082,38.06527
"HERAKUT",,,,,,,True,-84.486375,38.05375
"FOWL COUNTY",,,,,,,True,-84.485535,38.053244
