name, latitude, longitude, description, media, link
"Old School Coffee",38.0452096,-84.5028681,"Made for champions","Old_School_Coffee.jpeg","https://www.instagram.com/p/CSXIqberO8X/"
"A Cup of Commonwealth",38.0417305,-84.4914141,"Bleed blue","Chocolate_Holler.jpeg","https://www.instagram.com/p/CSXO2xkrx7r/"
"Chocolate Holler",38.0401013,-84.4925852,"Wildcat favorite","Cup_Of_Commonwealth.jpeg","https://www.instagram.com/p/CSZq_YxL6VR/"
"BirdsOfAmerica",38.045070149377445,-84.49768156893147,"Mural of the birds of American next to the Lexington transit center","Haikus1.jpg","https://www.instagram.com/p/CSZsY2dHKqM/"
"LincolnsJudgement",38.04403463839335,-84.49562963161135,"Murals Of Lincoln across the lexington transit center","Haikus2.jpg","https://www.instagram.com/p/CSZsaLfn4Ij/"
"MusicInTheCity",38.0429498,-84.4952144,"Murals of music next to the transit center","Haikus3.jpg","https://www.instagram.com/p/CSZsb3QH1Wp/"
"Boone Center",38.0353782,-84.5037522, "If Needed Find A Tutor","Boone_Center.jpg, "https://www.tiktok.com/@andrew_box/video/6994807105026821381?lang=en&is_copy_url=1&is_from_webapp=v1"
"Media Center",38.0316575,-84.5020813, "If You Need Help With Video Recordings","Media_Center.jpg","https://www.tiktok.com/@andrew_box/video/6994807194285870342?lang=en&is_copy_url=1&is_from_webapp=v1"
"Presentation Center",38.0316575,-84.5020813, "If You Need Help With Presentations And Being Comfortable","Presentation_center.png","https://www.tiktok.com/@andrew_box/video/6994806994066492678?lang=en&is_copy_url=1&is_from_webapp=v1"
"Lynagh's Irish Pub", 38.0345744, -84.4952844, "A fun place to spend Friday nights", "lynaghs.jpg", "https://lynaghs.com/"
"GirlsGirlsGirls", 38.0418419,-84.5033993, "The best food and atmosphere", "girlsgirlsgirls.jpg",  https://www.girlsgirlsgirlsburritos.com/
"Fayette Mall", 37.9876287,-84.5250114, "A fun place to spend time with friends", "fayettemall.jpg", https://www.shopfayette-mall.com/
"The Summit", 37.9774987,-84.5207393, "A fun outdoor shopping center", "thesummit.jpg", https://thesummitatfritzfarm.com/
"Lexlive", 38.0482246,-84.5003406, "Arcade - bowling - and movies!", "lexlive.jpg", https://www.lexlive.com/
"Trader Joes", 38.0056095,-84.5151053, "The best place in town", "traderjoes.jpg", https://locations.traderjoes.com/ksxsy/lexington/627/
"Waffle House",38.0157296,-84.5536055,"Late night breakfast","BigT-Waffle.jpg","https://www.instagram.com/p/CSZwalHr1MR/"
"Parkette",38.0311822,-84.4555027,"Drive-In diner","BigT-Parkette.jpg","https://www.instagram.com/p/CSZwbtWLhwc/"
"Bluedoor",38.0399643,-84.4830234,"Barbecue goodness in Lex","BigT-Bluedoor.jpg","https://www.instagram.com/p/CSZwcY9rCfJ/"
"Canes",38.0424697,-84.5041687,"best_chicken_fingers","canes.jpeg","https://www.raisingcanes.com/"
"Mcdonalds",38.04239,-84.5031209,"fast_and_cheap","Mcdonalds.jpeg","https://www.mcdonalds.com/us/en-us/location/ky/lexington/357-s-limestone-ave/4819.html?cid=RF:YXT:GMB::Clicks"
"Insomnia",38.04322,-84.502809,"late_night_snack","insomnia.jpeg","https://insomniacookies.com/shipping?gclsrc=aw.ds&gclid=EAIaIQobChMIrMjhtMWk8gIVylByCh2bCQdPEAAYASAAEgIMavD_BwE"
"Graeter's Ice Cream",38.0292309,-84.4917844,"cold sweet treats","Joellas.jpg",https://www.instagram.com/p/CSX11UtgJof/
"Joella's Hot Chicken",38.0277456,-84.4921488,"best chicken in lex","Graeters.jpg",https://www.instagram.com/p/CSX10SLAhd9/
"Bourbon n' Toulouse",38.0297934,-84.4927232,"authentic cajun meals","Bourbon.jpg",https://www.instagram.com/p/CSX1zRCgRwY/
"BLM Mural",38.0492552,-84.4989356,"Paint and words combined <br>equality on the streets <br>shameless hope and love","blmmural.jpg","https://www.instagram.com/p/CSZl_2BHZ4v/"
"Cityscape",38.0423612,-84.4823224,"Cast a light upon <br>the unique downtown culture <br>one-of-a-kind art.","cityscapemural.jpg","https://www.instagram.com/p/CSZl5OinvBT/"
"Animals Personified",38.0490076,-84.4936894,"Beautiful women <br>once majestic animals <br>painted with bold strokes.","animalpersonified.jpg","https://www.instagram.com/p/CSZmIe-H94u/"
"Two Lovers",38.0474697,-84.4968775,"Asleep on a desk <br>a feeling of belonging <br>two souls intertwined.","twolovers.jpg","https://www.instagram.com/p/CSZlqTSnJzd/"
"Third Street Stuff Walls",38.0493992,-84.4931055,"Vibrant and unique <br>walls painted with careful strokes <br>wafting cafe smells.","thirdstreetstuff.jpg","https://www.instagram.com/p/CSZlyWAnX7I/"
"The Hive",38.0446637,-84.4935359,"A flurry of strokes <br>what is this peculiar place? <br>colorful whimsy.","thehive.jpg","https://www.instagram.com/p/CSZlke0Hycm/"
"Woodland Glen IV", 38.02888570204991, -84.49980940202373, "A great place to live with your friends", "WoodlandglenIVphoto.jpg", "https://www.instagram.com/p/CSXJgKDLgBf/?utm_source=ig_web_copy_link"
"Rupp Arena", 38.049503295722495, -84.50251187318807, "The best place to watch basketball", "RuppArena.jpg", "https://www.instagram.com/p/CSZsTicrL7w/?utm_source=ig_web_copy_link"
"William T. Young Library", 38.03300189125092, -84.50169548668282, "A great place to go study with friends", "WilliamTYoungLibrary.jpg", "https://www.instagram.com/p/CSZsXXBrfhY/?utm_source=ig_web_copy_link"
"papa_johns",38.0321162,-84.5033064,"pizza","papa_johns.jpg"," https://www.papajohns.com/"                           
"chick_fil_a",38.0312002,-84.5046738,"best_chicken","chick_fil_a.jpg","https://www.chick-fil-a.com/locations/ky/university-of-kentucky-the-90"
"zen_sushi",38.0314796,-84.5021202,"sushi_lover","sushi.jpg","https://www.zenlexington.com/"  
"Kroger Field", 38.0227518,-84.5073649, "UK Football", "Kroger.jpg", "https://www.instagram.com/p/CSZx-MLrr_C/"
"Baseball Pavillion", 38.0276885,-84.5000447, "UK Baseball", "Baseball.jpg", "https://www.instagram.com/p/CSZx-MLrr_C/"
"Hillary J. Boone", 38.0270384,-84.5039867, "Tennis Courts", "HJB.jpg", "https://www.instagram.com/p/CSZx-MLrr_C/"
"Local taco", 38.0431686,-84.5017866, "Relaxing, Spicy, Trendy and chill", "Local_Taco.jpg", "https://www.instagram.com/p/CSZs1y3A3Q3/"
"willy T satrbucks", 38.0326429,-84.5015191, "The quiet spot for students to learn/study", "Willy_T_Starbys.jpg", "https://www.instagram.com/p/CSZs3i-gakr/"
"Sumo Hibachi and Sushi", 38.0369562,-84.5155733, "Expeirence the cultural and different food of sushi", "Sumo_Hibachi_&_Sushi.jpg", "https://www.instagram.com/p/CSZs5LogdnA/"
"Skyline",38.0072326,-84.4553365,"Unique Cincinati chain that contains one of a kind chili","skyline.jpg","https://www.instagram.com/p/CSX1KmEg4pR/"
"Girlsgirlsgirls Burritos", 38.0417922,-84.506075,"unique stylistic and customizable burritos","girls.jpg","https://www.instagram.com/p/CSX1AppAOhV/"  
